시군구,급속충전기,완속충전기
강원도 강릉시,45,33
강원도 고성군,4,2
강원도 동해시,13,23
강원도 삼척시,8,17
강원도 속초시,9,5
강원도 양구군,8,4
강원도 양양군,5,4
강원도 영월군,8,2
강원도 원주시,35,56
강원도 인제군,16,3
강원도 정선군,14,1
강원도 철원군,1,1
강원도 춘천시,41,29
강원도 태백시,9,0
강원도 평창군,16,6
강원도 홍천군,14,1
강원도 화천군,2,1
강원도 횡성군,10,7
경기도 가평군,10,1
경기도 고양시,56,135
경기도 과천시,20,7
경기도 광명시,7,16
경기도 광주시,33,23
경기도 구리시,15,13
경기도 군포시,6,13
경기도 김포시,61,81
경기도 남양주시,56,111
경기도 동두천시,13,8
경기도 부천시,13,35
경기도 성남시,33,71
경기도 수원시,71,142
경기도 시흥시,26,49
경기도 안산시,26,32
경기도 안성시,7,15
경기도 안양시,15,41
경기도 양주시,27,31
경기도 양평군,5,7
경기도 여주시,23,6
경기도 연천군,10,0
경기도 오산시,18,23
경기도 용인시,105,138
경기도 의왕시,13,14
경기도 의정부시,40,56
경기도 이천시,10,13
경기도 파주시,30,47
경기도 평택시,17,50
경기도 포천시,6,4
경기도 하남시,31,63
경기도 화성시,66,102
경상남도 거제시,28,22
경상남도 거창군,9,2
경상남도 고성군,13,1
경상남도 김해시,52,44
경상남도 남해군,15,2
경상남도 밀양시,17,12
경상남도 사천시,7,6
경상남도 산청군,21,2
경상남도 양산시,46,59
경상남도 의령군,0,2
경상남도 진주시,38,57
경상남도 창녕군,15,4
경상남도 창원시,101,123
경상남도 통영시,22,26
경상남도 하동군,17,2
경상남도 함안군,16,6
경상남도 함양군,22,4
경상남도 합천군,9,1
경상북도 경산시,64,27
경상북도 경주시,46,22
경상북도 고령군,13,2
경상북도 구미시,51,37
경상북도 김천시,19,22
경상북도 문경시,15,4
경상북도 봉화군,6,0
경상북도 상주시,12,12
경상북도 성주군,6,0
경상북도 안동시,43,28
경상북도 영덕군,6,3
경상북도 영양군,5,0
경상북도 영주시,7,2
경상북도 영천시,21,4
경상북도 예천군,12,3
경상북도 울릉군,10,0
경상북도 울진군,4,5
경상북도 의성군,13,3
경상북도 청도군,2,0
경상북도 청송군,10,2
경상북도 칠곡군,21,16
경상북도 포항시,75,31
광주광역시,120,103
대구광역시,245,371
대전광역시,171,174
부산광역시,209,201
서울특별시,573,895
울산광역시,70,71
인천광역시,200,284
전라남도 강진군,5,1
전라남도 고흥군,7,4
전라남도 곡성군,10,2
전라남도 광양시,28,9
전라남도 구례군,3,4
전라남도 나주시,53,38
전라남도 담양군,5,2
전라남도 목포시,39,35
전라남도 무안군,20,10
전라남도 보성군,14,2
전라남도 순천시,43,22
전라남도 신안군,5,1
전라남도 여수시,37,23
전라남도 영광군,4,3
전라남도 영암군,12,7
전라남도 완도군,2,1
전라남도 장성군,13,4
전라남도 장흥군,8,0
전라남도 진도군,7,3
전라남도 함평군,5,3
전라남도 해남군,5,7
전라남도 화순군,7,5
전라북도 고창군,4,4
전라북도 군산시,32,33
전라북도 김제시,12,10
전라북도 남원시,9,7
전라북도 무주군,3,1
전라북도 부안군,3,2
전라북도 순창군,2,1
전라북도 완주군,8,5
전라북도 익산시,19,24
전라북도 임실군,5,4
전라북도 장수군,3,4
전라북도 전주시,83,108
전라북도 정읍시,14,15
전라북도 진안군,7,4
제주도,297,204
충청남도 계룡시,5,0
충청남도 공주시,20,7
충청남도 금산군,8,3
충청남도 논산시,31,20
충청남도 당진시,33,25
충청남도 보령시,10,5
충청남도 부여군,16,4
충청남도 서산시,9,15
충청남도 서천군,15,3
충청남도 아산시,30,18
충청남도 예산군,11,9
충청남도 천안시,42,40
충청남도 청양군,6,2
충청남도 태안군,18,7
충청남도 홍성군,18,10
충청북도 괴산군,7,0
충청북도 단양군,7,1
충청북도 보은군,7,5
충청북도 영동군,7,8
충청북도 옥천군,10,3
충청북도 음성군,20,12
충청북도 제천시,15,15
충청북도 증평군,8,4
충청북도 진천군,24,11
충청북도 청주시,77,153
충청북도 충주시,34,24
