month,overall_mean,q1_mean,q2_mean,q3_mean,q4_mean
2013-01,,,,,
2013-02,,,,,
2013-03,,,,,
2013-04,,,,,
2013-05,,,,,
2013-06,,,,,
2013-07,,,,,
2013-08,,,,,
2013-09,,,,,
2013-10,,,,,
2013-11,,,,,
2013-12,,,,,
2014-01,,,,,
2014-02,,,,,
2014-03,,,,,
2014-04,148.0,148.0,,,
2014-05,148.0,148.0,,,
2014-06,148.0,148.0,,,
2014-07,148.0,148.0,,,
2014-08,148.0,148.0,,,
2014-09,148.0,148.0,,,
2014-10,148.0,148.0,,,
2014-11,148.0,148.0,,,
2014-12,148.0,148.0,,,135.0
2015-01,148.0,148.0,,,135.0
2015-02,148.0,148.0,,,135.0
2015-03,148.0,148.0,,,135.0
2015-04,148.0,148.0,,,135.0
2015-05,148.0,148.0,,,135.0
2015-06,148.0,148.0,,,135.0
2015-07,148.0,148.0,,,135.0
2015-08,148.0,148.0,,,135.0
2015-09,148.0,148.0,,,135.0
2015-10,148.0,148.0,,,135.0
2015-11,148.0,148.0,,,135.0
2015-12,148.0,148.0,,,135.0
2016-01,148.0,148.0,,,135.0
2016-02,148.0,148.0,,,135.0
2016-03,158.0,191.0,148.0,,135.0
2016-04,158.0,191.0,148.0,,135.0
2016-05,158.0,191.0,148.0,,135.0
2016-06,158.0,191.0,148.0,,135.0
2016-07,158.0,191.0,148.0,,135.0
2016-08,158.0,191.0,148.0,,135.0
2016-09,158.0,191.0,148.0,,135.0
2016-10,214.25,383.0,191.0,148.0,135.0
2016-11,214.25,383.0,191.0,148.0,135.0
2016-12,214.25,383.0,191.0,148.0,135.0
2017-01,214.25,383.0,191.0,148.0,135.0
2017-02,214.25,383.0,191.0,148.0,135.0
2017-03,214.25,383.0,191.0,148.0,135.0
2017-04,214.25,383.0,191.0,148.0,135.0
2017-05,214.25,383.0,191.0,148.0,135.0
2017-06,261.6,417.0,191.0,148.0,135.0
2017-07,261.6,417.0,200.0,191.0,141.5
2017-08,261.6,417.0,200.0,191.0,141.5
2017-09,261.6,417.0,200.0,191.0,141.5
2017-10,261.6,417.0,200.0,191.0,141.5
2017-11,261.6,417.0,200.0,191.0,141.5
2017-12,261.6,417.0,200.0,191.0,141.5
2018-01,261.6,417.0,200.0,191.0,141.5
2018-02,261.6,417.0,200.0,191.0,141.5
2018-03,261.6,417.0,200.0,191.0,141.5
2018-04,271.0,428.5,318.5,195.5,141.5
2018-05,271.0,428.5,318.5,195.5,141.5
2018-06,271.0,428.5,318.5,195.5,141.5
2018-07,271.0,428.5,318.5,195.5,154.33333333333334
2018-08,281.53846153846155,428.5,318.5,201.33333333333334,154.33333333333334
2018-09,281.53846153846155,428.5,318.5,201.33333333333334,154.33333333333334
2018-10,281.53846153846155,428.5,318.5,201.33333333333334,154.33333333333334
2018-11,281.53846153846155,428.5,318.5,201.33333333333334,154.33333333333334
2018-12,281.53846153846155,428.5,318.5,201.33333333333334,154.33333333333334
2019-01,281.53846153846155,428.5,318.5,201.33333333333334,154.33333333333334
2019-02,281.53846153846155,428.5,318.5,201.33333333333334,154.33333333333334
2019-03,281.53846153846155,428.5,318.5,201.33333333333334,154.33333333333334
2019-04,296.85714285714283,455.25,340.6666666666667,219.66666666666666,163.5
2019-05,296.85714285714283,455.25,340.6666666666667,219.66666666666666,163.5
2019-06,296.85714285714283,455.25,340.6666666666667,219.66666666666666,163.5
2019-07,296.85714285714283,455.25,340.6666666666667,219.66666666666666,163.5
2019-08,296.85714285714283,455.25,340.6666666666667,219.66666666666666,163.5
2019-09,296.85714285714283,455.25,340.6666666666667,219.66666666666666,163.5
2019-10,296.85714285714283,455.25,340.6666666666667,219.66666666666666,163.5
2019-11,296.85714285714283,455.25,340.6666666666667,219.66666666666666,163.5
2019-12,296.85714285714283,455.25,340.6666666666667,219.66666666666666,163.5
2020-01,296.85714285714283,455.25,340.6666666666667,219.66666666666666,163.5
2020-02,296.85714285714283,455.25,340.6666666666667,219.66666666666666,163.5
2020-03,297.8235294117647,455.25,340.6666666666667,227.25,163.5
2020-04,297.8235294117647,455.25,340.6666666666667,227.25,163.5
2020-05,297.8235294117647,455.25,340.6666666666667,227.25,163.5
2020-06,297.8235294117647,455.25,340.6666666666667,227.25,163.5
2020-07,332.05,483.6,394.8,266.0,183.8
2020-08,332.05,483.6,394.8,266.0,183.8
2020-09,332.05,483.6,394.8,266.0,183.8
2020-10,332.05,483.6,394.8,266.0,183.8
2020-11,332.05,483.6,394.8,266.0,183.8
2020-12,332.05,483.6,394.8,266.0,183.8
2021-01,332.05,483.6,394.8,266.0,183.8
2021-02,332.05,483.6,394.8,266.0,183.8
2021-03,332.05,483.6,394.8,266.0,183.8
2021-04,354.0,483.6,404.0,310.6,217.8
2021-05,354.0,483.6,404.0,310.6,217.8
2021-06,354.0,483.6,404.0,310.6,217.8
2021-07,354.0,483.6,404.0,310.6,217.8
2021-08,383.8,507.6,438.4,357.2,232.0
2021-09,383.8,507.6,438.4,357.2,232.0
2021-10,383.8,507.6,438.4,357.2,232.0
2021-11,383.8,507.6,438.4,357.2,232.0
2021-12,383.8,507.6,438.4,357.2,232.0
2022-01,383.8,507.6,438.4,357.2,232.0
2022-02,383.8,507.6,438.4,357.2,232.0
2022-03,383.8,507.6,438.4,357.2,232.0
2022-04,383.8,507.6,438.4,357.2,232.0
2022-05,383.8,507.6,438.4,357.2,232.0
2022-06,383.8,507.6,438.4,357.2,232.0
2022-07,397.45,507.6,448.8,375.6,257.8
2022-08,397.45,507.6,448.8,375.6,257.8
2022-09,414.8,516.0,467.4,400.0,275.8
2022-10,421.25,516.0,467.4,400.0,301.6
2022-11,421.25,516.0,467.4,400.0,301.6
2022-12,421.25,516.0,467.4,400.0,301.6
2023-01,421.25,516.0,467.4,400.0,301.6
2023-02,421.25,516.0,467.4,400.0,301.6
2023-03,421.25,516.0,467.4,400.0,301.6
2023-04,421.25,516.0,467.4,400.0,301.6
2023-05,421.25,516.0,467.4,400.0,301.6
2023-06,436.35,527.8,474.0,422.2,321.4
2023-07,436.35,527.8,474.0,422.2,321.4
2023-08,436.35,527.8,474.0,422.2,321.4
2023-09,436.35,527.8,474.0,422.2,321.4
2023-10,436.35,527.8,474.0,422.2,321.4
2023-11,436.35,527.8,474.0,422.2,321.4
2023-12,436.35,527.8,474.0,422.2,321.4
2024-01,436.35,527.8,474.0,422.2,321.4
2024-02,436.35,527.8,474.0,422.2,321.4
2024-03,451.35,527.8,480.2,432.8,364.6
2024-04,451.35,527.8,480.2,432.8,364.6
2024-05,451.35,527.8,480.2,432.8,364.6
2024-06,451.35,527.8,480.2,432.8,364.6
2024-07,451.35,527.8,480.2,432.8,364.6
2024-08,451.35,527.8,480.2,432.8,364.6
2024-09,451.35,527.8,480.2,432.8,364.6
2024-10,451.35,527.8,480.2,432.8,364.6
2024-11,451.35,527.8,480.2,432.8,364.6
2024-12,451.35,527.8,480.2,432.8,364.6
2025-01,451.35,527.8,480.2,432.8,364.6
